Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
"Copy MCC-7 Maneuver PAD, CSM & LM state vector update, target load, Entry REFSMMAT"				MCC Update					-1	0			
Uplink									-1	1	P27 Update		
V66E 	30	HIDDEN_DELAY					Set CSM state vector into LM state vector	DSKY V 6 6 E	1	1			
Copy Preliminary Entry PAD	515800	MISSION_TIME		MCC Update					-1	0			
P52 IMU Realign (REFSMMAT)									-1	1	P52 IMU Realign (REFSMMAT)		
Perform GDC Alignment to IMU									-1	1	GDC Alignment to IMU		
P30 External DV									-1	1	P30 External DV		
P40/41 Thrusting (click PRO for P40 -- click FAIL for P41)									-1	0	P40 SPS Thrusting	P41 RCS Thrusting	
V66E	30	HIDDEN_DELAY					Set CSM state vector into LM state vector	DSKY V 6 6 E	1	1			
													
