Name	Time	Deadline	Relative Event	Heading	Automatic	Manual	Essential	Sound	Slow
Docked DPS Burn	0	10		Mission Specific Procedures	1	1	0		0
EVA	0	10			1	1	0		0
Undocking Prep	0	10			1	1	0		0
Rendezvous	0	10			1	1	0		0
Phasing	0	10			1	1	0		0
Insertion	0	10			1	1	0		0
Staging & CSI	0	10			1	1	0		0
CSI Manual Iteration Up	0	10			1	1	0		0
CSI Manual Iteration Down	0	10			1	1	0		0
CDH	0	10			1	1	0		0
TPI	0	10			1	1	0		0
MCC	0	10			1	1	0		0
LM Active Docking	0	10			1	1	0		0
APS Burn To Depletion	0	10			1	1	0		0
	0	10			1	1	0		0
	0	10			1	1	0		0
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
